Escenario,Cliente,Repeticion,Tiempo_Firma,Tiempo_Cifrado_AES,Tiempo_Verificacion_HMAC,Tiempo_Cifrado_RSA
Iterativo,1,1,3685600,0,0,0
Iterativo,1,1,0,4272800,163100,1735600
Iterativo,1,1,0,479800,85300,177600
Iterativo,1,1,0,142900,71900,132700
Iterativo,1,1,0,386600,70400,175300
Iterativo,1,1,0,177900,41400,103000
Iterativo,1,1,0,163100,69400,139100
Iterativo,1,1,0,124100,47400,138800
Iterativo,1,1,0,134300,73100,174900
Iterativo,1,1,0,143100,43500,100900
Iterativo,1,1,0,136800,44000,109300
Iterativo,1,1,0,131900,54200,111300
Iterativo,1,1,0,154900,42500,100400
Iterativo,1,1,0,197000,43400,122700
Iterativo,1,1,0,181500,118800,313200
Iterativo,1,1,0,126800,38500,105000
Iterativo,1,1,0,145400,39300,118800
Iterativo,1,1,0,258900,74000,181000
Iterativo,1,1,0,186200,156300,342800
Iterativo,1,1,0,336100,69100,194400
Iterativo,1,1,0,156600,67900,230800
Iterativo,1,1,0,276700,58900,163900
Iterativo,1,1,0,943300,196000,469800
Iterativo,1,1,0,613200,107200,310700
Iterativo,1,1,0,664200,50600,316600
Iterativo,1,1,0,101500,46600,138100
Iterativo,1,1,0,255700,41700,102300
Iterativo,1,1,0,256400,66400,151500
Iterativo,1,1,0,154500,77200,214200
Iterativo,1,1,0,128400,75000,243100
Iterativo,1,1,0,145900,86100,218700
Iterativo,1,1,0,100800,47200,167300
Iterativo,1,1,0,140300,44100,111400
